file,maxclique_length,time,maxclique
anna.col,11,0.0009429454803466797,"[18, 74, 138, 36, 136, 135, 116, 99, 7, 81, 91]"
david.col,11,0.000720977783203125,"[83, 2, 66, 87, 19, 34, 4, 32, 55, 74, 46]"
games120.col,9,0.0015919208526611328,"[42, 103, 90, 44, 3, 67, 22, 91, 105]"
homer.col,13,0.004362821578979492,"[452, 285, 549, 189, 277, 314, 114, 381, 64, 387, 545, 491, 353]"
huck.col,11,0.00034809112548828125,"[55, 11, 13, 25, 50, 29, 40, 59, 5, 49, 1]"
jean.col,10,0.0003349781036376953,"[68, 7, 9, 34, 66, 72, 19, 79, 38, 15]"
le450_15a.col,15,0.10627198219299316,"[219, 35, 298, 406, 100, 307, 336, 42, 228, 443, 137, 224, 41, 274, 105]"
le450_15b.col,15,0.0973670482635498,"[32, 1, 432, 293, 100, 215, 43, 426, 204, 326, 334, 153, 345, 97, 164]"
le450_15c.col,15,1.1891779899597168,"[384, 283, 351, 439, 340, 350, 63, 31, 179, 83, 101, 62, 420, 97, 282]"
le450_15d.col,15,1.2225310802459717,"[98, 234, 277, 50, 415, 72, 71, 44, 4, 255, 317, 226, 108, 231, 88]"
le450_5a.col,5,0.04059195518493652,"[81, 222, 243, 125, 109]"
le450_5b.col,5,0.03685808181762695,"[205, 411, 48, 427, 164]"
le450_5c.col,5,0.11487913131713867,"[432, 231, 383, 74, 95]"
le450_5d.col,5,0.11526298522949219,"[272, 71, 243, 199, 45]"
miles250.col,8,0.00475311279296875,"[20, 53, 116, 30, 38, 10, 113, 24]"
miles500.col,20,0.0032300949096679688,"[126, 123, 115, 66, 45, 69, 113, 20, 94, 30, 10, 2, 58, 53, 25, 116, 24, 93, 38, 41]"
myciel3.col,2,3.409385681152344e-5,"[1, 9]"
myciel4.col,2,0.00011086463928222656,"[1, 20]"
myciel5.col,2,0.0005609989166259766,"[15, 24]"
myciel6.col,2,0.0018639564514160156,"[27, 57]"
myciel7.col,2,0.013916969299316406,"[56, 106]"
queen11_11.col,11,0.03190493583679199,"[61, 62, 63, 60, 66, 58, 64, 65, 59, 56, 57]"
queen13_13.col,13,0.05575299263000488,"[85, 29, 57, 15, 43, 71, 99, 113, 155, 169, 141, 127, 1]"
queen5_5.col,5,0.0005381107330322266,"[13, 8, 18, 14, 12]"
queen6_6.col,6,0.0012209415435791016,"[15, 17, 13, 14, 16, 18]"
queen7_7.col,7,0.0030519962310791016,"[47, 33, 40, 26, 19, 5, 12]"
queen8_12.col,12,0.013000011444091797,"[30, 32, 34, 26, 25, 31, 35, 29, 27, 28, 36, 33]"
queen8_8.col,8,0.004289150238037109,"[28, 55, 1, 37, 10, 19, 64, 46]"
queen9_9.col,9,0.009919881820678711,"[41, 9, 25, 73, 17, 65, 49, 57, 33]"
